record_id,pubmed_id,year,themes,focus_areas,n_focus_areas,is_orphan_pub,title
358,38510898,2024,5;12,FA1;FA7;FA8,3,0,Nationwide Case-Control Analysis of Merkel Cell Carcinoma and Associated Skin Cancer Comorbidities: An Examination of the All of Us Database
359,39596587,2024,4,FA1;FA5,2,0,"Gene Variant Frequencies of IDO1, IDO2, TDO, and KMO in Substance Use Disorder Cohorts"
360,38639369,2024,1;6;14,FA1;FA7;FA8,3,0,Secondary Prevention in Patients With Stroke Versus Myocardial Infarction: Analysis of 2 National Cohorts
361,38622899,2024,2;4;6,FA1;FA5;FA7;FA8,4,0,Illuminating the landscape of high-level clinical trial opportunities in the All of Us Research Program
362,38622117,2024,2;3,FA8,1,0,An ensemble penalized regression method for multi-ancestry polygenic risk prediction
363,38618708,2024,9;12;13,FA1;FA7,2,0,Characterizing interstitial lung disease in patients with psoriasis: a cross-sectional analysis in the National Institutes of Health's All of Us Research Program
364,38582238,2024,5;12,FA1;FA7;FA8,3,0,Risk of lymphoma in patients with atopic dermatitis: A case-control study in the All of Us database
367,38683037,2024,6,FA7,1,0,How rural is All of Us? Comparing characteristics of rural participants in the National Institute of Health's All of Us Research Program to other national data sources
368,38674269,2024,5;6,FA1;FA7;FA8,3,0,Influence of Health Insurance Types on Clinical Cancer Care Accessibility and Quality Using All of Us Database
374,38591407,2024,6;12,FA1;FA7,2,0,Asian and Hispanic/Latino Patients Are High Risk for Melasma Development in a Cross-Sectional Cohort Study Using the All of Us Database
375,38661598,2024,1;6;14,FA1;FA7;FA8,3,0,Carpal Tunnel Syndrome and Transthyretin Amyloidosis in the All of Us Research Program
376,38653897,2024,5;6,FA1;FA7;FA8,3,0,Racial/Ethnic Disparities: Discrimination's Impact on Health-Related Quality of Life-An All of Us Cancer Survivors' Cross-sectional Study
